date,home_team,away_team,home_score,away_score,competition,year,round,group,venue,pen_home,pen_away
1982-06-17,yugoslavia,northern_ireland,0,0,世界杯1982小组赛 Group 5,1982,Matchday 1,Group 5,"La Romareda, Zaragoza",,
1982-06-18,argentina,hungary,4,1,世界杯1982小组赛 Group 3,1982,Matchday 2,Group 3,"Estadio José Rico Pérez, Alicante",,
1982-06-18,brazil,scotland,4,1,世界杯1982小组赛 Group 6,1982,Matchday 2,Group 6,"Estadio Benito Villamarín, Seville",,
1982-06-18,italy,peru,1,1,世界杯1982小组赛 Group 1,1982,Matchday 2,Group 1,"Balaídos, Vigo",,
1982-06-19,belgium,el_salvador,1,0,世界杯1982小组赛 Group 3,1982,Matchday 2,Group 3,"Nuevo Estadio, Elche",,
1982-06-19,poland,cameroon,0,0,世界杯1982小组赛 Group 1,1982,Matchday 2,Group 1,"Estadio de Riazor, A Coruña",,
1982-06-19,soviet_union,new_zealand,3,0,世界杯1982小组赛 Group 6,1982,Matchday 2,Group 6,"Estadio La Rosaleda, Málaga",,
1982-06-20,england,czechoslovakia,2,0,世界杯1982小组赛 Group 4,1982,Matchday 2,Group 4,"Estadio San Mamés, Bilbao",,
1982-06-20,spain,yugoslavia,2,1,世界杯1982小组赛 Group 5,1982,Matchday 2,Group 5,"Estadio Luis Casanova, Valencia",,
1982-06-20,west_germany,chile,4,1,世界杯1982小组赛 Group 2,1982,Matchday 2,Group 2,"El Molinón, Gijón",,
1982-06-21,algeria,austria,0,2,世界杯1982小组赛 Group 2,1982,Matchday 2,Group 2,"Estadio Carlos Tartiere, Oviedo",,
1982-06-21,france,kuwait,4,1,世界杯1982小组赛 Group 4,1982,Matchday 2,Group 4,"Estadio José Zorrilla, Valladolid",,
1982-06-21,honduras,northern_ireland,1,1,世界杯1982小组赛 Group 5,1982,Matchday 2,Group 5,"La Romareda, Zaragoza",,
1982-06-22,belgium,hungary,1,1,世界杯1982小组赛 Group 3,1982,Matchday 3,Group 3,"Nuevo Estadio, Elche",,
1982-06-22,poland,peru,5,1,世界杯1982小组赛 Group 1,1982,Matchday 3,Group 1,"Estadio de Riazor, A Coruña",,
1982-06-22,soviet_union,scotland,2,2,世界杯1982小组赛 Group 6,1982,Matchday 3,Group 6,"Estadio La Rosaleda, Málaga",,
1982-06-23,argentina,el_salvador,2,0,世界杯1982小组赛 Group 3,1982,Matchday 3,Group 3,"Estadio José Rico Pérez, Alicante",,
1982-06-23,brazil,new_zealand,4,0,世界杯1982小组赛 Group 6,1982,Matchday 3,Group 6,"Estadio Benito Villamarín, Seville",,
1982-06-23,italy,cameroon,1,1,世界杯1982小组赛 Group 1,1982,Matchday 3,Group 1,"Balaídos, Vigo",,
1982-06-24,algeria,chile,3,2,世界杯1982小组赛 Group 2,1982,Matchday 3,Group 2,"Estadio Carlos Tartiere, Oviedo",,
1982-06-24,france,czechoslovakia,1,1,世界杯1982小组赛 Group 4,1982,Matchday 3,Group 4,"Estadio José Zorrilla, Valladolid",,
1982-06-24,honduras,yugoslavia,0,1,世界杯1982小组赛 Group 5,1982,Matchday 3,Group 5,"La Romareda, Zaragoza",,
1982-06-25,england,kuwait,1,0,世界杯1982小组赛 Group 4,1982,Matchday 3,Group 4,"Estadio San Mamés, Bilbao",,
1982-06-25,spain,northern_ireland,0,1,世界杯1982小组赛 Group 5,1982,Matchday 3,Group 5,"Estadio Luis Casanova, Valencia",,
1982-06-25,west_germany,austria,1,0,世界杯1982小组赛 Group 2,1982,Matchday 3,Group 2,"El Molinón, Gijón",,
1982-06-28,austria,france,0,1,世界杯1982小组赛 Group D,1982,Matchday 4,Group D,"Estadio Vicente Calderón, Madrid",,
1982-06-28,poland,belgium,3,0,世界杯1982小组赛 Group A,1982,Matchday 4,Group A,"Camp Nou, Barcelona",,
1982-06-29,italy,argentina,2,1,世界杯1982小组赛 Group C,1982,Matchday 4,Group C,"Estadio Sarriá, Barcelona",,
1982-06-29,west_germany,england,0,0,世界杯1982小组赛 Group B,1982,Matchday 4,Group B,"Estadio Santiago Bernabéu, Madrid",,
1982-07-01,austria,northern_ireland,2,2,世界杯1982小组赛 Group D,1982,Matchday 5,Group D,"Estadio Vicente Calderón, Madrid",,
1982-07-01,belgium,soviet_union,0,1,世界杯1982小组赛 Group A,1982,Matchday 5,Group A,"Camp Nou, Barcelona",,
1982-07-02,argentina,brazil,1,3,世界杯1982小组赛 Group C,1982,Matchday 5,Group C,"Estadio Sarriá, Barcelona",,
1982-07-02,west_germany,spain,2,1,世界杯1982小组赛 Group B,1982,Matchday 5,Group B,"Estadio Santiago Bernabéu, Madrid",,
1982-07-04,northern_ireland,france,1,4,世界杯1982小组赛 Group D,1982,Matchday 6,Group D,"Estadio Vicente Calderón, Madrid",,
1982-07-04,soviet_union,poland,0,0,世界杯1982小组赛 Group A,1982,Matchday 6,Group A,"Camp Nou, Barcelona",,
1982-07-05,italy,brazil,3,2,世界杯1982小组赛 Group C,1982,Matchday 6,Group C,"Estadio Sarriá, Barcelona",,
1982-07-05,spain,england,0,0,世界杯1982小组赛 Group B,1982,Matchday 6,Group B,"Estadio Santiago Bernabéu, Madrid",,
1982-07-08,poland,italy,0,2,世界杯1982决赛,1982,Semi-finals,,"Camp Nou, Barcelona",,
1982-07-08,west_germany,france,1,1,世界杯1982决赛,1982,Semi-finals,,"Estadio Ramón Sánchez Pizjuán, Seville",5,4
1982-07-10,poland,france,3,2,世界杯1982季军赛,1982,Third place match,,"Estadio José Rico Pérez, Alicante",,
1982-07-11,italy,west_germany,3,1,世界杯1982决赛,1982,Final,,Estadio Santiago Bernabéu,,
